Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,21,18,19,7,0.86,0.9,0.33
2012.0,29,22,26,9,0.76,0.9,0.31
2013.0,23,18,21,5,0.78,0.91,0.22
2014.0,31,24,26,12,0.77,0.84,0.39
2015.0,27,20,23,10,0.74,0.85,0.37
2016.0,22,14,20,7,0.64,0.91,0.32
2017.0,22,15,18,5,0.68,0.82,0.23
2018.0,24,21,21,6,0.88,0.88,0.25
2019.0,24,17,21,6,0.71,0.88,0.25
2020.0,17,13,16,7,0.76,0.94,0.41
2021.0,26,23,24,16,0.88,0.92,0.62
2022.0,21,21,17,11,1.0,0.81,0.52
2023.0,32,31,30,26,0.97,0.94,0.81
