,Sector,intersection,health,climate
0,banks,2.0,56.0,102.0
1,chemicals,1.0,135.0,36.0
2,construction & materials,15.2,153.6,129.6
3,diversified,2.0,38.0,32.8
4,electricity,20.0,241.0,221.0
5,electronic & electrical equ...,6.0,45.0,68.0
6,finance and credit services,1.33,55.67,14.0
7,food producers,1.0,58.0,14.0
8,"gas, water & multiutilities",6.0,101.0,95.0
9,general industrials,11.0,222.0,261.0
10,industrial transportation,2.33,48.67,29.33
11,"oil, gas, & coal",10.0,147.0,142.0
12,retailers,6.75,103.5,95.0
13,telecommunications equipment; telecommunications service providers,7.0,190.0,206.0
14,travel & leisure,5.5,60.0,48.0
