,Sector,intersection,climate,health
0,alternative energy,6.0,101.0,159.0
1,beverages,2.0,56.0,173.0
2,construction & materials,6.0,73.0,271.0
3,diversified,14.0,87.0,217.0
4,electricity,6.0,104.0,330.0
5,food producers,3.0,55.0,154.0
6,industrial engineering,0.0,3.0,16.0
7,industrial metals & mining,0.0,1.0,3.0
8,industrial metals and mining,0.0,11.0,0.0
9,industrial transportation,0.0,34.0,19.0
10,media,0.0,4.0,1.0
11,pharmaceuticals & biotechno...,0.0,2.0,17.0
12,retailers,7.0,44.0,157.0
13,telecommunications equipment; telecommunications service providers,2.0,82.0,117.0
