,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,5.0,42.0,68.0,115.0
1,Tier 1,2012.0,1.0,77.0,89.0,167.0
2,Tier 1,2013.0,3.0,50.0,54.0,107.0
3,Tier 1,2014.0,2.0,39.0,67.0,108.0
4,Tier 1,2015.0,3.0,30.0,54.0,87.0
5,Tier 1,2016.0,3.0,40.0,51.0,94.0
6,Tier 1,2017.0,0.0,7.0,0.0,7.0
7,Tier 1,2018.0,0.0,1.0,1.0,2.0
8,Tier 1,2019.0,0.0,1.0,1.0,2.0
9,Tier 1,2020.0,0.0,1.0,1.0,2.0
10,Tier 1,2021.0,16.0,206.0,429.0,651.0
11,Tier 1,2022.0,13.0,353.0,361.0,727.0
12,Tier 1,2023.0,17.0,445.0,408.0,870.0
