,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,5.0,42.0,68.0,115.0
1,Very High,2012.0,1.0,77.0,89.0,167.0
2,Very High,2013.0,3.0,50.0,54.0,107.0
3,Very High,2014.0,2.0,39.0,67.0,108.0
4,Very High,2015.0,3.0,30.0,54.0,87.0
5,Very High,2016.0,3.0,40.0,51.0,94.0
6,Very High,2017.0,0.0,7.0,0.0,7.0
7,Very High,2018.0,0.0,1.0,1.0,2.0
8,Very High,2019.0,0.0,1.0,1.0,2.0
9,Very High,2020.0,0.0,1.0,1.0,2.0
10,Very High,2021.0,16.0,206.0,429.0,651.0
11,Very High,2022.0,13.0,353.0,361.0,727.0
12,Very High,2023.0,17.0,445.0,408.0,870.0
