,Sector,intersection,climate,health
0,banks,1.0,59.0,27.0
1,beverages,1.0,21.0,98.0
2,construction & materials,0.0,33.0,55.0
3,diversified,1.0,92.0,20.0
4,electricity,15.0,352.0,155.0
5,financial services,4.0,124.0,139.0
6,industrial engineering,6.0,136.0,249.0
7,industrial support services,5.0,72.0,174.0
8,industrial transportation,0.0,5.0,1.0
9,medical equipment and services; health care providers,14.0,143.0,300.0
10,nonlife insurance,0.0,11.0,8.0
11,software & computer services,0.0,26.0,18.0
12,telecommunications equipment; telecommunications service providers,0.0,2.0,7.0
13,travel & leisure,2.0,76.0,122.0
