,Sector,Climate,Health,Intersection,Year
0,banks,1.0,1.0,0.17,2023
1,beverages,0.57,0.57,0.14,2023
2,construction & materials,0.75,0.75,0.0,2023
3,diversified,1.0,1.0,1.0,2023
4,electricity,1.0,0.83,0.67,2023
5,financial services,1.0,1.0,0.27,2023
6,industrial engineering,0.85,0.85,0.38,2023
7,industrial support services,0.8,0.9,0.15,2023
8,industrial transportation,1.0,1.0,0.0,2023
9,medical equipment and services; health care providers,0.78,1.0,0.56,2023
10,nonlife insurance,1.0,1.0,0.0,2023
11,software & computer services,0.75,0.5,0.0,2023
12,telecommunications equipment; telecommunications service providers,0.5,1.0,0.0,2023
13,travel & leisure,1.0,1.0,0.25,2023
