,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011.0,41.0,573.0,948.0,1562.0
1,Medium,2012.0,29.0,447.0,1029.0,1505.0
2,Medium,2013.0,42.0,551.0,1180.0,1773.0
3,Medium,2014.0,19.0,442.0,948.0,1409.0
4,Medium,2015.0,56.0,623.0,1363.0,2042.0
5,Medium,2016.0,55.0,702.0,1380.0,2137.0
6,Medium,2017.0,29.0,452.0,1198.0,1679.0
7,Medium,2018.0,52.0,419.0,930.0,1401.0
8,Medium,2019.0,46.0,606.0,1024.0,1676.0
9,Medium,2020.0,54.0,347.0,624.0,1025.0
10,Medium,2021.0,110.0,880.0,1835.0,2825.0
11,Medium,2022.0,107.0,795.0,1706.0,2608.0
12,Medium,2023.0,364.0,4196.0,6097.0,10657.0
