,Sector,intersection,climate,health
0,alternative energy,11.0,285.0,67.0
1,automobiles & parts,6.0,138.0,160.0
2,banks,9.0,188.0,100.0
3,beverages,0.0,12.0,25.0
4,chemicals,101.0,673.0,1478.0
5,construction & materials,46.0,473.0,891.0
6,diversified,2.0,5.0,32.0
7,electricity,42.0,801.0,976.0
8,electronic & electrical equ...,3.0,25.0,93.0
9,finance and credit services,0.0,11.0,14.0
10,financial services,4.0,61.0,161.0
11,food producers,0.0,8.0,34.0
12,general industrials,114.0,1635.0,2980.0
13,household goods & home cons...,1.0,42.0,92.0
14,industrial engineering,3.0,75.0,90.0
15,industrial metals & mining,26.0,258.0,1271.0
16,industrial metals and mining,52.0,854.0,1616.0
17,industrial support services,48.0,267.0,448.0
18,industrial transportation,21.0,297.0,396.0
19,media,0.0,105.0,116.0
20,medical equipment and services; health care providers,0.0,0.0,8.0
21,not applicable,0.0,5.0,55.0
22,"oil, gas, & coal",193.0,1829.0,3115.0
23,personal goods,23.0,229.0,327.0
24,pharmaceuticals & biotechno...,122.0,711.0,2722.0
25,real estate investment & se...,1.0,53.0,33.0
26,software & computer services,173.0,1900.0,2861.0
27,technology hardware & equip...,1.0,8.0,20.0
28,telecommunications equipment; telecommunications service providers,1.0,15.0,9.0
29,travel & leisure,1.0,70.0,72.0
