,Sector,intersection,health,climate
0,alternative energy,11.0,67.0,270.0
1,automobiles & parts,1.2,26.8,25.4
2,banks,4.0,72.0,170.0
3,chemicals,8.33,127.78,59.56
4,construction & materials,2.0,73.5,61.5
5,diversified,2.0,1.0,2.0
6,electricity,3.0,150.0,232.0
7,electronic & electrical equ...,3.0,27.0,11.0
8,finance and credit services,0.0,14.0,11.0
9,general industrials,0.0,0.0,2.0
10,household goods & home cons...,1.0,74.0,37.0
11,industrial metals and mining,10.0,168.0,184.67
12,industrial support services,0.0,0.0,0.0
13,industrial transportation,10.5,166.0,141.0
14,not applicable,0.0,6.33,1.0
15,"oil, gas, & coal",13.67,165.0,90.0
16,personal goods,11.5,110.0,102.5
17,pharmaceuticals & biotechno...,8.67,204.0,51.44
18,real estate investment & se...,1.0,33.0,53.0
19,software & computer services,5.55,74.73,76.82
