,Sector,intersection,health,climate
0,automobiles & parts,4.0,132.0,34.0
1,chemicals,1.0,46.0,11.0
2,construction & materials,2.5,59.0,40.5
3,diversified,16.5,94.0,109.5
4,finance and credit services,2.0,34.0,39.0
5,food producers,9.0,133.0,130.0
6,industrial engineering,2.0,88.0,48.0
7,industrial materials,5.43,99.43,51.0
8,industrial metals and mining,3.5,137.75,80.25
9,industrial support services,0.0,22.0,1.5
10,not applicable,1.0,2.0,4.0
11,"oil, gas, & coal",16.0,179.0,224.0
12,personal goods,9.0,108.67,69.67
13,pharmaceuticals & biotechno...,1.0,167.0,32.0
14,real estate investment & se...,6.0,95.0,51.5
