,SIDS,Year,intersection,climate,health,sum
0,Tier 2,2011.0,0.0,16.0,102.0,118.0
1,Tier 2,2012.0,0.0,38.0,134.0,172.0
2,Tier 2,2013.0,7.0,68.0,283.0,358.0
3,Tier 2,2014.0,10.0,175.0,336.0,521.0
4,Tier 2,2015.0,2.0,32.0,302.0,336.0
5,Tier 2,2016.0,2.0,38.0,241.0,281.0
6,Tier 2,2017.0,1.0,28.0,212.0,241.0
7,Tier 2,2018.0,3.0,21.0,271.0,295.0
8,Tier 2,2019.0,14.0,53.0,449.0,516.0
9,Tier 2,2020.0,8.0,98.0,328.0,434.0
10,Tier 2,2021.0,27.0,240.0,850.0,1117.0
11,Tier 2,2022.0,27.0,395.0,1248.0,1670.0
12,Tier 2,2023.0,197.0,2263.0,3252.0,5712.0
