,Sector,intersection,climate,health
0,aerospace & defense,0.0,0.0,5.0
1,alternative energy,11.0,213.0,73.0
2,automobiles & parts,7.0,47.0,47.0
3,banks,1.0,15.0,5.0
4,beverages,0.0,0.0,0.0
5,construction & materials,6.0,210.0,117.0
6,diversified,0.0,28.0,28.0
7,food producers,61.0,197.0,281.0
8,general industrials,0.0,0.0,0.0
9,industrial materials,15.0,303.0,507.0
10,industrial support services,0.0,27.0,66.0
11,pharmaceuticals & biotechno...,14.0,43.0,148.0
12,retailers,8.0,25.0,83.0
13,technology hardware & equip...,6.0,60.0,416.0
14,travel & leisure,2.0,180.0,36.0
