,Sector,intersection,climate,health
0,alternative energy,0.0,1.0,0.0
1,banks,8.0,563.0,900.0
2,construction & materials,1.0,1.0,11.0
3,diversified,1.0,15.0,29.0
4,food producers,15.0,180.0,495.0
5,general industrials,0.0,1.0,6.0
6,industrial engineering,0.0,20.0,20.0
7,"oil, gas, & coal",0.0,6.0,11.0
8,personal goods,0.0,10.0,0.0
9,pharmaceuticals & biotechno...,14.0,69.0,1108.0
10,real estate investment & se...,3.0,91.0,160.0
11,software & computer services,0.0,2.0,45.0
12,technology hardware & equip...,0.0,13.0,11.0
13,telecommunications equipment; telecommunications service providers,2.0,88.0,106.0
