,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,2.0,59.0,116.0,177.0
1,1,Asia,2012.0,4.0,73.0,125.0,202.0
2,2,Asia,2013.0,4.0,115.0,271.0,390.0
3,3,Asia,2014.0,3.0,81.0,302.0,386.0
4,4,Asia,2015.0,0.0,99.0,202.0,301.0
5,5,Asia,2016.0,1.0,112.0,405.0,518.0
6,6,Asia,2017.0,6.0,81.0,259.0,346.0
7,7,Asia,2018.0,2.0,67.0,435.0,504.0
8,8,Asia,2019.0,12.0,71.0,311.0,394.0
9,9,Asia,2020.0,1.0,64.0,91.0,156.0
10,10,Asia,2021.0,0.0,53.0,129.0,182.0
11,11,Asia,2022.0,1.0,74.0,116.0,191.0
12,12,Asia,2023.0,8.0,111.0,140.0,259.0
