,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,6.0,283.0,564.0,853.0
1,Very High,2012.0,29.0,483.0,1108.0,1620.0
2,Very High,2013.0,17.0,311.0,650.0,978.0
3,Very High,2014.0,28.0,219.0,758.0,1005.0
4,Very High,2015.0,21.0,238.0,704.0,963.0
5,Very High,2016.0,33.0,213.0,623.0,869.0
6,Very High,2017.0,24.0,414.0,735.0,1173.0
7,Very High,2018.0,23.0,413.0,1029.0,1465.0
8,Very High,2019.0,38.0,723.0,1626.0,2387.0
9,Very High,2020.0,48.0,938.0,1850.0,2836.0
10,Very High,2021.0,174.0,1924.0,5151.0,7249.0
11,Very High,2022.0,204.0,2787.0,5924.0,8915.0
12,Very High,2023.0,609.0,8948.0,10486.0,20043.0
