,Sector,intersection,climate,health
0,aerospace & defense,12.0,106.0,147.0
1,alternative energy,34.0,805.0,570.0
2,automobiles & parts,35.0,538.0,845.0
3,banks,13.0,458.0,759.0
4,beverages,22.0,264.0,328.0
5,chemicals,14.0,187.0,418.0
6,construction & materials,135.0,1412.0,4028.0
7,diversified,112.0,1462.0,2652.0
8,electricity,49.0,778.0,378.0
9,electronic & electrical equ...,18.0,350.0,635.0
10,finance and credit services,48.0,890.0,1048.0
11,financial services,54.0,812.0,1725.0
12,food producers,74.0,633.0,1690.0
13,"gas, water & multiutilities",67.0,1814.0,2440.0
14,general industrials,61.0,1239.0,1930.0
15,household goods & home cons...,16.0,291.0,984.0
16,industrial engineering,96.0,795.0,1334.0
17,industrial materials,19.0,306.0,494.0
18,industrial metals & mining,18.0,250.0,412.0
19,industrial metals and mining,4.0,101.0,74.0
20,industrial support services,29.0,575.0,1122.0
21,industrial transportation,44.0,374.0,662.0
22,leisure goods,10.0,102.0,213.0
23,life insurance,25.0,469.0,585.0
24,media,0.0,26.0,70.0
25,medical equipment and services; health care providers,5.0,26.0,195.0
26,not applicable,13.0,61.0,172.0
27,"oil, gas, & coal",44.0,528.0,551.0
28,personal goods,59.0,738.0,1497.0
29,pharmaceuticals & biotechno...,33.0,122.0,757.0
30,real estate investment & se...,0.0,16.0,76.0
31,retailers,23.0,365.0,601.0
32,software & computer services,33.0,534.0,749.0
33,technology hardware & equip...,9.0,132.0,311.0
34,telecommunications equipment; telecommunications service providers,16.0,214.0,435.0
35,travel & leisure,10.0,121.0,321.0
