Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,83,70,69,25,0.84,0.83,0.3
2012.0,101,82,84,21,0.81,0.83,0.21
2013.0,116,93,97,31,0.8,0.84,0.27
2014.0,111,95,93,36,0.86,0.84,0.32
2015.0,119,98,100,39,0.82,0.84,0.33
2016.0,131,108,108,36,0.82,0.82,0.27
2017.0,140,113,118,49,0.81,0.84,0.35
2018.0,138,113,117,54,0.82,0.85,0.39
2019.0,160,130,135,60,0.81,0.84,0.38
2020.0,176,155,157,98,0.88,0.89,0.56
2021.0,239,205,211,143,0.86,0.88,0.6
2022.0,270,236,238,170,0.87,0.88,0.63
2023.0,263,250,251,203,0.95,0.95,0.77
