,Sector,intersection,climate,health
0,automobiles & parts,120.0,3152.0,3091.0
1,banks,39.0,1458.0,701.0
2,beverages,127.0,1496.0,3509.0
3,chemicals,354.0,4507.0,8334.0
4,construction & materials,274.0,6023.0,5538.0
5,diversified,147.0,2426.0,3861.0
6,electricity,10.0,473.0,221.0
7,electronic & electrical equ...,460.0,7914.0,11865.0
8,finance and credit services,61.0,1168.0,591.0
9,financial services,197.0,4800.0,3525.0
10,food producers,201.0,1633.0,6642.0
11,"gas, water & multiutilities",35.0,1218.0,776.0
12,general industrials,429.0,9566.0,12770.0
13,household goods & home cons...,153.0,4034.0,7762.0
14,industrial engineering,18.0,1092.0,1004.0
15,industrial materials,42.0,1238.0,1559.0
16,industrial metals & mining,20.0,564.0,628.0
17,industrial metals and mining,30.0,322.0,123.0
18,industrial support services,179.0,3552.0,4960.0
19,industrial transportation,137.0,1570.0,2123.0
20,leisure goods,34.0,1193.0,1688.0
21,life insurance,245.0,1366.0,5192.0
22,media,14.0,428.0,601.0
23,medical equipment and services; health care providers,142.0,827.0,5045.0
24,nonlife insurance,11.0,223.0,378.0
25,"oil, gas, & coal",147.0,2781.0,2850.0
26,personal goods,17.0,303.0,699.0
27,pharmaceuticals & biotechno...,386.0,1648.0,9992.0
28,real estate investment & se...,94.0,1458.0,1566.0
29,real estate investment trusts,14.0,489.0,501.0
30,retailers,76.0,2484.0,3980.0
31,software & computer services,56.0,1867.0,1793.0
32,technology hardware & equip...,244.0,5208.0,6567.0
33,telecommunications equipment; telecommunications service providers,6.0,486.0,302.0
34,travel & leisure,40.0,737.0,1352.0
