,Sector,intersection,health,climate
0,automobiles & parts,2.9,89.5,117.1
1,banks,3.0,44.5,211.0
2,beverages,9.0,116.75,96.75
3,chemicals,4.23,82.69,70.77
4,construction & materials,4.11,59.79,82.0
5,diversified,2.55,46.27,55.45
6,electricity,5.0,82.0,211.5
7,electronic & electrical equ...,4.35,79.97,76.65
8,finance and credit services,6.78,65.67,129.78
9,food producers,5.42,119.42,42.42
10,"gas, water & multiutilities",5.33,131.33,194.67
11,general industrials,4.09,116.95,109.0
12,household goods & home cons...,1.5,107.25,58.0
13,industrial engineering,2.0,33.67,63.0
14,industrial materials,2.75,47.75,61.0
15,industrial metals and mining,10.0,41.0,107.33
16,industrial support services,4.54,90.15,80.0
17,industrial transportation,5.75,42.62,64.88
18,leisure goods,2.25,92.75,65.25
19,life insurance,20.0,141.0,124.25
20,media,0.0,13.0,30.33
21,medical equipment and services; health care providers,6.4,154.2,42.2
22,nonlife insurance,11.0,378.0,223.0
23,"oil, gas, & coal",5.5,66.5,142.0
24,personal goods,2.5,62.25,40.0
25,pharmaceuticals & biotechno...,13.86,273.29,49.43
26,real estate investment & se...,3.17,56.67,64.0
27,real estate investment trusts,3.0,208.0,219.0
28,retailers,2.21,71.21,57.64
29,software & computer services,2.5,61.62,100.5
30,technology hardware & equip...,7.7,109.4,153.4
31,telecommunications equipment; telecommunications service providers,3.0,151.0,243.0
32,travel & leisure,4.5,78.25,68.0
