,Year,WHO,Climate,Health,Intersection
0,2011.0,Western Pacific,1.0,1.0,0.0
1,2012.0,Western Pacific,1.0,1.0,0.0
2,2013.0,Western Pacific,1.0,1.0,0.67
3,2014.0,Western Pacific,1.0,0.67,0.33
4,2015.0,Western Pacific,1.0,0.67,0.33
5,2016.0,Western Pacific,1.0,0.75,0.5
6,2017.0,Western Pacific,0.5,0.5,0.25
7,2018.0,Western Pacific,0.67,0.67,0.33
8,2019.0,Western Pacific,1.0,0.67,0.67
9,2020.0,Western Pacific,1.0,0.75,0.5
10,2021.0,Western Pacific,0.8,0.6,0.4
11,2022.0,Western Pacific,1.0,0.8,0.8
12,2023.0,Western Pacific,0.8,0.8,0.8
