,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011.0,0.0,18.0,196.0,214.0,medical equipment and services; health care providers or health care
1,Very High,2012.0,0.0,15.0,110.0,125.0,medical equipment and services; health care providers or health care
2,Very High,2013.0,18.0,65.0,326.0,409.0,medical equipment and services; health care providers or health care
3,Very High,2014.0,10.0,33.0,316.0,359.0,medical equipment and services; health care providers or health care
4,Very High,2015.0,8.0,35.0,324.0,367.0,medical equipment and services; health care providers or health care
5,Very High,2016.0,13.0,24.0,248.0,285.0,medical equipment and services; health care providers or health care
6,Very High,2017.0,2.0,32.0,264.0,298.0,medical equipment and services; health care providers or health care
7,Very High,2018.0,1.0,60.0,528.0,589.0,medical equipment and services; health care providers or health care
8,Very High,2019.0,2.0,13.0,228.0,243.0,medical equipment and services; health care providers or health care
9,Very High,2020.0,8.0,61.0,528.0,597.0,medical equipment and services; health care providers or health care
10,Very High,2021.0,9.0,79.0,510.0,598.0,medical equipment and services; health care providers or health care
11,Very High,2022.0,39.0,181.0,696.0,916.0,medical equipment and services; health care providers or health care
12,Very High,2023.0,32.0,211.0,771.0,1014.0,medical equipment and services; health care providers or health care
