,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011.0,2.0,16.0,65.0,83.0
1,Eastern Mediterranean,2012.0,0.0,8.0,20.0,28.0
2,Eastern Mediterranean,2013.0,1.0,44.0,76.0,121.0
3,Eastern Mediterranean,2014.0,0.0,1.0,8.0,9.0
4,Eastern Mediterranean,2015.0,0.0,4.0,13.0,17.0
5,Eastern Mediterranean,2016.0,0.0,12.0,17.0,29.0
6,Eastern Mediterranean,2017.0,0.0,2.0,23.0,25.0
7,Eastern Mediterranean,2018.0,1.0,24.0,37.0,62.0
8,Eastern Mediterranean,2019.0,0.0,7.0,35.0,42.0
9,Eastern Mediterranean,2020.0,0.0,7.0,20.0,27.0
10,Eastern Mediterranean,2021.0,0.0,7.0,40.0,47.0
11,Eastern Mediterranean,2022.0,2.0,26.0,53.0,81.0
12,Eastern Mediterranean,2023.0,4.0,34.0,27.0,65.0
