,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,2.0,16.0,65.0,83.0
1,1,Asia,2012.0,0.0,8.0,20.0,28.0
2,2,Asia,2013.0,1.0,44.0,76.0,121.0
3,3,Asia,2014.0,0.0,1.0,8.0,9.0
4,4,Asia,2015.0,0.0,4.0,13.0,17.0
5,5,Asia,2016.0,0.0,12.0,17.0,29.0
6,6,Asia,2017.0,0.0,2.0,23.0,25.0
7,7,Asia,2018.0,1.0,24.0,37.0,62.0
8,8,Asia,2019.0,0.0,7.0,35.0,42.0
9,9,Asia,2020.0,0.0,7.0,20.0,27.0
10,10,Asia,2021.0,0.0,7.0,40.0,47.0
11,11,Asia,2022.0,2.0,26.0,53.0,81.0
12,12,Asia,2023.0,4.0,34.0,27.0,65.0
