,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,1.0,9.0,30.0,40.0
1,1,Asia,2012.0,2.0,6.0,35.0,43.0
2,2,Asia,2013.0,2.0,19.0,90.0,111.0
3,3,Asia,2014.0,1.0,35.0,52.0,88.0
4,4,Asia,2015.0,0.0,31.0,58.0,89.0
5,5,Asia,2016.0,0.0,28.0,82.0,110.0
6,6,Asia,2017.0,4.0,119.0,154.0,277.0
7,7,Asia,2018.0,0.0,33.0,108.0,141.0
8,8,Asia,2019.0,2.0,56.0,85.0,143.0
9,9,Asia,2020.0,5.0,55.0,69.0,129.0
10,10,Asia,2021.0,8.0,101.0,178.0,287.0
11,11,Asia,2022.0,1.0,39.0,96.0,136.0
12,12,Asia,2023.0,30.0,580.0,643.0,1253.0
