,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011.0,8.0,72.0,172.0,252.0
1,1,Africa,2012.0,7.0,70.0,349.0,426.0
2,2,Africa,2013.0,0.0,7.0,251.0,258.0
3,3,Africa,2014.0,26.0,65.0,410.0,501.0
4,4,Africa,2015.0,10.0,59.0,412.0,481.0
5,5,Africa,2016.0,3.0,31.0,256.0,290.0
6,6,Africa,2017.0,2.0,25.0,278.0,305.0
7,7,Africa,2018.0,2.0,51.0,357.0,410.0
8,8,Africa,2019.0,8.0,57.0,411.0,476.0
9,9,Africa,2020.0,4.0,51.0,210.0,265.0
10,10,Africa,2021.0,40.0,238.0,1139.0,1417.0
11,11,Africa,2022.0,37.0,325.0,772.0,1134.0
12,12,Africa,2023.0,86.0,1289.0,1177.0,2552.0
