,WHO,Year,intersection,climate,health,sum,Sector
0,Africa,2011.0,0.0,1.0,47.0,48.0,medical equipment and services; health care providers or health care
1,Africa,2012.0,1.0,3.0,111.0,115.0,medical equipment and services; health care providers or health care
2,Africa,2013.0,0.0,0.0,85.0,85.0,medical equipment and services; health care providers or health care
3,Africa,2014.0,25.0,24.0,178.0,227.0,medical equipment and services; health care providers or health care
4,Africa,2015.0,9.0,27.0,165.0,201.0,medical equipment and services; health care providers or health care
5,Africa,2016.0,2.0,2.0,40.0,44.0,medical equipment and services; health care providers or health care
6,Africa,2017.0,0.0,0.0,7.0,7.0,medical equipment and services; health care providers or health care
7,Africa,2018.0,0.0,0.0,81.0,81.0,medical equipment and services; health care providers or health care
8,Africa,2019.0,0.0,0.0,87.0,87.0,medical equipment and services; health care providers or health care
9,Africa,2020.0,0.0,0.0,14.0,14.0,medical equipment and services; health care providers or health care
10,Africa,2021.0,7.0,5.0,90.0,102.0,medical equipment and services; health care providers or health care
11,Africa,2022.0,1.0,5.0,78.0,84.0,medical equipment and services; health care providers or health care
