,Sector,intersection,climate,health
0,aerospace & defense,19.0,272.0,196.0
1,automobiles & parts,148.0,3055.0,2635.0
2,banks,22.0,661.0,271.0
3,beverages,2.0,36.0,45.0
4,chemicals,237.0,2476.0,2897.0
5,construction & materials,56.0,1061.0,1548.0
6,diversified,176.0,4038.0,2859.0
7,electricity,48.0,1472.0,579.0
8,electronic & electrical equ...,32.0,690.0,499.0
9,finance and credit services,22.0,1032.0,333.0
10,financial services,67.0,2056.0,1116.0
11,food producers,58.0,629.0,1132.0
12,"gas, water & multiutilities",77.0,2940.0,1096.0
13,general industrials,121.0,1581.0,2084.0
14,household goods & home cons...,72.0,1270.0,1444.0
15,industrial engineering,190.0,1594.0,2171.0
16,industrial metals & mining,24.0,684.0,647.0
17,industrial metals and mining,20.0,316.0,167.0
18,industrial support services,41.0,928.0,1107.0
19,industrial transportation,52.0,745.0,782.0
20,leisure goods,13.0,419.0,397.0
21,life insurance,37.0,637.0,1190.0
22,media,9.0,158.0,394.0
23,medical equipment and services; health care providers,25.0,111.0,711.0
24,nonlife insurance,3.0,149.0,184.0
25,not applicable,42.0,1798.0,1739.0
26,"oil, gas, & coal",156.0,1927.0,1962.0
27,personal goods,49.0,519.0,550.0
28,pharmaceuticals & biotechno...,55.0,324.0,889.0
29,real estate investment & se...,24.0,664.0,435.0
30,retailers,47.0,751.0,896.0
31,software & computer services,21.0,469.0,381.0
32,technology hardware & equip...,35.0,601.0,702.0
33,telecommunications equipment; telecommunications service providers,23.0,929.0,846.0
34,travel & leisure,35.0,574.0,871.0
