,Sector,intersection,health,climate
0,aerospace & defense,14.0,71.0,123.0
1,automobiles & parts,8.4,130.2,196.6
2,banks,1.0,3.0,5.0
3,chemicals,6.5,74.17,90.0
4,construction & materials,5.5,95.0,76.0
5,diversified,6.64,110.73,177.27
6,electronic & electrical equ...,4.0,122.5,201.5
7,finance and credit services,3.14,47.57,147.43
8,food producers,18.0,196.0,166.0
9,"gas, water & multiutilities",6.0,28.0,176.0
10,general industrials,8.0,133.5,133.0
11,household goods & home cons...,3.0,73.0,76.5
12,industrial engineering,14.0,117.0,140.0
13,industrial metals and mining,20.0,167.0,316.0
14,industrial support services,2.5,34.0,98.75
15,industrial transportation,3.33,81.33,92.33
16,life insurance,7.5,122.0,105.5
17,media,1.0,108.0,54.5
18,medical equipment and services; health care providers,3.0,236.0,19.0
19,not applicable,0.0,23.0,24.5
20,"oil, gas, & coal",7.5,63.5,99.0
21,personal goods,11.0,119.0,143.0
22,pharmaceuticals & biotechno...,14.0,237.67,95.67
23,real estate investment & se...,3.0,44.0,17.0
24,retailers,6.5,129.0,110.5
25,software & computer services,3.67,63.0,101.0
26,technology hardware & equip...,2.0,119.0,202.0
27,telecommunications equipment; telecommunications service providers,5.0,198.0,402.0
28,travel & leisure,0.0,0.0,1.0
