,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2012.0,0.0,0.0,0.0,0.0
1,Eastern Mediterranean,2013.0,0.0,0.0,0.0,0.0
2,Eastern Mediterranean,2014.0,0.0,5.0,4.0,9.0
3,Eastern Mediterranean,2015.0,1.0,26.0,41.0,68.0
4,Eastern Mediterranean,2016.0,2.0,21.0,58.0,81.0
5,Eastern Mediterranean,2017.0,0.0,0.0,3.0,3.0
6,Eastern Mediterranean,2018.0,0.0,0.0,8.0,8.0
7,Eastern Mediterranean,2019.0,0.0,0.0,26.0,26.0
8,Eastern Mediterranean,2020.0,1.0,27.0,86.0,114.0
9,Eastern Mediterranean,2021.0,0.0,0.0,53.0,53.0
10,Eastern Mediterranean,2022.0,12.0,44.0,152.0,208.0
11,Eastern Mediterranean,2023.0,11.0,191.0,224.0,426.0
