,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,0.0,0.0,31.0,31.0
1,1,Europe,2012.0,5.0,45.0,130.0,180.0
2,2,Europe,2013.0,5.0,49.0,84.0,138.0
3,3,Europe,2014.0,0.0,1.0,47.0,48.0
4,4,Europe,2015.0,0.0,0.0,27.0,27.0
5,5,Europe,2016.0,0.0,0.0,38.0,38.0
6,6,Europe,2017.0,0.0,0.0,32.0,32.0
7,7,Europe,2018.0,0.0,21.0,21.0,42.0
8,8,Europe,2019.0,0.0,28.0,21.0,49.0
9,9,Europe,2020.0,5.0,28.0,27.0,60.0
10,10,Europe,2021.0,7.0,31.0,35.0,73.0
11,11,Europe,2022.0,3.0,33.0,51.0,87.0
