,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2012.0,0.0,0.0,3.0,3.0
1,1,Asia,2013.0,0.0,0.0,8.0,8.0
2,2,Asia,2014.0,0.0,5.0,37.0,42.0
3,3,Asia,2015.0,1.0,45.0,97.0,143.0
4,4,Asia,2016.0,2.0,106.0,129.0,237.0
5,5,Asia,2017.0,8.0,157.0,133.0,298.0
6,6,Asia,2018.0,12.0,224.0,243.0,479.0
7,7,Asia,2019.0,9.0,305.0,370.0,684.0
8,8,Asia,2020.0,6.0,62.0,126.0,194.0
9,9,Asia,2021.0,19.0,145.0,363.0,527.0
10,10,Asia,2022.0,19.0,267.0,472.0,758.0
11,11,Asia,2023.0,19.0,362.0,693.0,1074.0
