,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,0.0,3.0,13.0,16.0
1,1,Europe,2012.0,0.0,2.0,19.0,21.0
2,2,Europe,2013.0,5.0,12.0,5.0,22.0
3,3,Europe,2015.0,1.0,16.0,15.0,32.0
4,4,Europe,2016.0,0.0,2.0,0.0,2.0
5,5,Europe,2017.0,0.0,12.0,9.0,21.0
6,6,Europe,2018.0,1.0,3.0,6.0,10.0
7,7,Europe,2019.0,0.0,15.0,14.0,29.0
8,8,Europe,2020.0,0.0,17.0,11.0,28.0
9,9,Europe,2021.0,5.0,77.0,135.0,217.0
10,10,Europe,2022.0,4.0,120.0,136.0,260.0
11,11,Europe,2023.0,8.0,109.0,127.0,244.0
