,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,7.0,153.0,239.0,399.0
1,Very High,2012.0,7.0,114.0,198.0,319.0
2,Very High,2013.0,3.0,162.0,205.0,370.0
3,Very High,2014.0,3.0,127.0,205.0,335.0
4,Very High,2015.0,2.0,145.0,324.0,471.0
5,Very High,2016.0,5.0,155.0,300.0,460.0
6,Very High,2017.0,3.0,110.0,239.0,352.0
7,Very High,2018.0,3.0,60.0,236.0,299.0
8,Very High,2019.0,3.0,55.0,117.0,175.0
9,Very High,2020.0,3.0,48.0,125.0,176.0
10,Very High,2021.0,6.0,108.0,325.0,439.0
11,Very High,2022.0,13.0,270.0,489.0,772.0
12,Very High,2023.0,22.0,162.0,300.0,484.0
