,Sector,intersection,climate,health
0,alternative energy,0.0,5.0,2.0
1,beverages,5.0,43.0,99.0
2,electricity,6.0,287.0,395.0
3,electronic & electrical equ...,0.0,0.0,4.0
4,financial services,1.0,190.0,231.0
5,food producers,5.0,76.0,131.0
6,"gas, water & multiutilities",1.0,24.0,271.0
7,general industrials,2.0,39.0,147.0
8,industrial engineering,3.0,15.0,57.0
9,industrial support services,10.0,90.0,165.0
10,industrial transportation,6.0,32.0,157.0
11,media,0.0,0.0,5.0
12,medical equipment and services; health care providers,0.0,5.0,299.0
13,not applicable,0.0,3.0,15.0
14,real estate investment trusts,0.0,23.0,3.0
15,retailers,41.0,680.0,990.0
16,software & computer services,0.0,0.0,4.0
17,telecommunications equipment; telecommunications service providers,0.0,157.0,327.0
