,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,1.0,0.0,2023
1,beverages,0.17,1.0,0.17,2023
2,electricity,0.94,0.94,0.18,2023
3,electronic & electrical equ...,0.0,1.0,0.0,2023
4,financial services,0.86,0.86,0.03,2023
5,food producers,1.0,1.0,1.0,2023
6,"gas, water & multiutilities",0.47,0.88,0.06,2023
7,general industrials,0.46,0.88,0.08,2023
8,industrial engineering,1.0,1.0,1.0,2023
9,industrial support services,0.2,0.84,0.08,2023
10,industrial transportation,0.73,0.82,0.36,2023
11,media,0.0,0.83,0.0,2023
12,medical equipment and services; health care providers,0.4,1.0,0.0,2023
13,not applicable,0.5,1.0,0.0,2023
14,real estate investment trusts,1.0,1.0,0.0,2023
15,retailers,0.88,0.82,0.71,2023
16,software & computer services,0.0,1.0,0.0,2023
17,telecommunications equipment; telecommunications service providers,0.77,0.85,0.0,2023
