Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,5,4,5,1,0.8,1.0,0.2
2012.0,6,4,5,0,0.67,0.83,0.0
2013.0,8,6,5,1,0.75,0.62,0.12
2014.0,8,5,6,2,0.62,0.75,0.25
2015.0,10,6,7,2,0.6,0.7,0.2
2016.0,8,5,6,2,0.62,0.75,0.25
2017.0,10,7,9,3,0.7,0.9,0.3
2018.0,9,4,6,2,0.44,0.67,0.22
2019.0,12,7,8,3,0.58,0.67,0.25
2020.0,14,9,12,5,0.64,0.86,0.36
2021.0,23,16,21,8,0.7,0.91,0.35
2022.0,21,14,17,9,0.67,0.81,0.43
2023.0,17,15,16,12,0.88,0.94,0.71
