,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,5.0,34.0,141.0,180.0
1,Europe,2012.0,0.0,20.0,89.0,109.0
2,Europe,2013.0,4.0,36.0,124.0,164.0
3,Europe,2014.0,5.0,35.0,204.0,244.0
4,Europe,2015.0,4.0,52.0,111.0,167.0
5,Europe,2016.0,3.0,75.0,130.0,208.0
6,Europe,2017.0,3.0,96.0,162.0,261.0
7,Europe,2018.0,5.0,62.0,160.0,227.0
8,Europe,2019.0,6.0,49.0,157.0,212.0
9,Europe,2020.0,11.0,98.0,233.0,342.0
10,Europe,2021.0,28.0,277.0,799.0,1104.0
11,Europe,2022.0,29.0,337.0,624.0,990.0
12,Europe,2023.0,39.0,738.0,765.0,1542.0
