,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,1.0,0.0,2023
1,banks,1.0,1.0,1.0,2023
2,chemicals,0.67,1.0,0.33,2023
3,construction & materials,0.62,0.85,0.15,2023
4,diversified,0.57,1.0,0.29,2023
5,finance and credit services,1.0,1.0,1.0,2023
6,financial services,0.62,0.75,0.12,2023
7,food producers,1.0,1.0,1.0,2023
8,general industrials,1.0,1.0,0.33,2023
9,industrial metals & mining,1.0,1.0,0.75,2023
10,industrial metals and mining,0.25,0.25,0.25,2023
11,industrial support services,1.0,0.75,0.25,2023
12,industrial transportation,0.78,0.78,0.17,2023
13,investment banking and brokerage services,1.0,1.0,1.0,2023
14,media,0.0,0.5,0.0,2023
15,medical equipment and services; health care providers,1.0,1.0,1.0,2023
16,"oil, gas, & coal",1.0,1.0,0.6,2023
17,software & computer services,0.28,0.68,0.04,2023
18,telecommunications equipment; telecommunications service providers,1.0,0.83,0.5,2023
19,travel & leisure,0.2,1.0,0.0,2023
