,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,banks,1,1,1,1,1.0,1.0,1.0
1,construction & materials,1,1,1,1,1.0,1.0,1.0
2,diversified,2,2,2,1,1.0,1.0,0.5
3,finance and credit services,2,2,2,2,1.0,1.0,1.0
4,food producers,2,2,2,2,1.0,1.0,1.0
5,general industrials,2,2,2,0,1.0,1.0,0.0
6,industrial metals and mining,3,3,3,3,1.0,1.0,1.0
7,"oil, gas, & coal",1,1,1,1,1.0,1.0,1.0
8,software & computer services,2,0,1,0,0.0,0.5,0.0
9,telecommunications equipment; telecommunications service providers,1,1,1,1,1.0,1.0,1.0
