Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,5,2,5,1,0.4,1.0,0.2
2012.0,10,5,7,1,0.5,0.7,0.1
2013.0,10,4,7,2,0.4,0.7,0.2
2014.0,17,5,9,1,0.29,0.53,0.06
2015.0,14,3,8,1,0.21,0.57,0.07
2016.0,11,3,7,0,0.27,0.64,0.0
2017.0,12,4,7,2,0.33,0.58,0.17
2018.0,12,6,7,2,0.5,0.58,0.17
2019.0,12,4,8,2,0.33,0.67,0.17
2020.0,9,7,9,1,0.78,1.0,0.11
2021.0,13,11,13,9,0.85,1.0,0.69
2022.0,18,14,18,13,0.78,1.0,0.72
2023.0,28,26,26,24,0.93,0.93,0.86
