,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011.0,2.0,44.0,58.0,104.0
1,Western Pacific,2012.0,1.0,60.0,81.0,142.0
2,Western Pacific,2013.0,2.0,60.0,96.0,158.0
3,Western Pacific,2014.0,1.0,45.0,82.0,128.0
4,Western Pacific,2015.0,1.0,52.0,105.0,158.0
5,Western Pacific,2016.0,0.0,39.0,57.0,96.0
6,Western Pacific,2017.0,21.0,71.0,46.0,138.0
7,Western Pacific,2018.0,11.0,74.0,130.0,215.0
8,Western Pacific,2019.0,9.0,74.0,158.0,241.0
9,Western Pacific,2020.0,16.0,83.0,241.0,340.0
10,Western Pacific,2021.0,33.0,170.0,332.0,535.0
11,Western Pacific,2022.0,99.0,585.0,866.0,1550.0
12,Western Pacific,2023.0,249.0,2722.0,2344.0,5315.0
