,Sector,intersection,climate,health
0,alternative energy,7.0,104.0,19.0
1,banks,1.0,42.0,6.0
2,beverages,7.0,116.0,92.0
3,construction & materials,32.0,516.0,584.0
4,diversified,26.0,619.0,351.0
5,electronic & electrical equ...,7.0,24.0,143.0
6,finance and credit services,5.0,81.0,37.0
7,financial services,4.0,63.0,31.0
8,general industrials,34.0,136.0,440.0
9,household goods & home cons...,15.0,97.0,139.0
10,industrial engineering,27.0,82.0,230.0
11,industrial materials,0.0,6.0,0.0
12,industrial metals and mining,5.0,181.0,106.0
13,industrial support services,32.0,351.0,407.0
14,industrial transportation,18.0,92.0,99.0
15,media,0.0,6.0,11.0
16,medical equipment and services; health care providers,21.0,144.0,503.0
17,nonlife insurance,33.0,431.0,118.0
18,"oil, gas, & coal",12.0,74.0,138.0
19,pharmaceuticals & biotechno...,65.0,71.0,283.0
20,real estate investment & se...,22.0,212.0,245.0
21,real estate investment trusts,27.0,157.0,206.0
22,retailers,1.0,6.0,42.0
23,software & computer services,23.0,296.0,240.0
24,technology hardware & equip...,0.0,0.0,0.0
25,telecommunications equipment; telecommunications service providers,21.0,172.0,126.0
