,Sector,intersection,health,climate
0,beverages,7.0,92.0,116.0
1,construction & materials,8.67,92.0,118.67
2,diversified,4.33,58.5,103.17
3,electronic & electrical equ...,0.33,11.67,5.0
4,finance and credit services,5.0,37.0,81.0
5,industrial metals and mining,5.0,106.0,181.0
6,industrial support services,7.0,43.0,95.0
7,industrial transportation,4.0,43.5,37.0
8,medical equipment and services; health care providers,6.0,162.67,43.33
9,nonlife insurance,33.0,118.0,431.0
10,pharmaceuticals & biotechno...,59.0,258.0,60.0
11,real estate investment & se...,7.5,64.0,90.5
12,real estate investment trusts,16.0,87.0,91.0
13,software & computer services,11.5,119.0,146.0
