,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,0.75,0.75,2023
1,banks,1.0,1.0,0.5,2023
2,beverages,1.0,1.0,1.0,2023
3,construction & materials,0.78,1.0,0.39,2023
4,diversified,0.83,0.83,0.83,2023
5,electronic & electrical equ...,0.24,0.76,0.06,2023
6,finance and credit services,1.0,1.0,1.0,2023
7,financial services,1.0,1.0,1.0,2023
8,general industrials,0.21,0.52,0.17,2023
9,household goods & home cons...,1.0,1.0,1.0,2023
10,industrial engineering,0.31,0.62,0.19,2023
11,industrial materials,1.0,0.0,0.0,2023
12,industrial metals and mining,1.0,1.0,1.0,2023
13,industrial support services,0.43,0.86,0.43,2023
14,industrial transportation,1.0,1.0,1.0,2023
15,media,0.6,1.0,0.0,2023
16,medical equipment and services; health care providers,1.0,1.0,1.0,2023
17,nonlife insurance,1.0,1.0,1.0,2023
18,"oil, gas, & coal",0.75,0.75,0.25,2023
19,pharmaceuticals & biotechno...,1.0,1.0,0.75,2023
20,real estate investment & se...,0.62,0.88,0.38,2023
21,real estate investment trusts,1.0,1.0,1.0,2023
22,retailers,0.67,0.67,0.33,2023
23,software & computer services,0.83,0.67,0.33,2023
24,technology hardware & equip...,0.0,0.0,0.0,2023
25,telecommunications equipment; telecommunications service providers,1.0,1.0,0.67,2023
