,Sector,intersection,climate,health
0,banks,8.0,24.0,123.0
1,chemicals,0.0,1.0,1.0
2,diversified,35.0,150.0,718.0
3,finance and credit services,0.0,16.0,11.0
4,financial services,6.0,76.0,111.0
5,food producers,17.0,115.0,159.0
6,industrial support services,0.0,0.0,10.0
7,media,0.0,0.0,0.0
8,real estate investment & se...,2.0,27.0,38.0
9,software & computer services,1.0,2.0,38.0
10,telecommunications equipment; telecommunications service providers,4.0,37.0,125.0
11,travel & leisure,14.0,135.0,270.0
