,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,20.0,352.0,1373.0,1745.0
1,Americas,2012.0,28.0,383.0,1393.0,1804.0
2,Americas,2013.0,21.0,366.0,2092.0,2479.0
3,Americas,2014.0,41.0,473.0,1870.0,2384.0
4,Americas,2015.0,33.0,514.0,2352.0,2899.0
5,Americas,2016.0,42.0,377.0,2302.0,2721.0
6,Americas,2017.0,45.0,691.0,2810.0,3546.0
7,Americas,2018.0,39.0,495.0,2646.0,3180.0
8,Americas,2019.0,34.0,468.0,2368.0,2870.0
9,Americas,2020.0,78.0,711.0,2619.0,3408.0
10,Americas,2021.0,219.0,1471.0,6127.0,7817.0
11,Americas,2022.0,269.0,2226.0,6376.0,8871.0
12,Americas,2023.0,486.0,6101.0,8062.0,14649.0
