,WHO,Year,intersection,climate,health,sum,Sector
0,Americas,2013.0,0.0,1.0,18.0,19.0,medical equipment and services; health care providers or health care
1,Americas,2014.0,0.0,1.0,19.0,20.0,medical equipment and services; health care providers or health care
2,Americas,2015.0,0.0,11.0,54.0,65.0,medical equipment and services; health care providers or health care
3,Americas,2016.0,0.0,0.0,15.0,15.0,medical equipment and services; health care providers or health care
4,Americas,2017.0,0.0,0.0,27.0,27.0,medical equipment and services; health care providers or health care
5,Americas,2018.0,0.0,8.0,51.0,59.0,medical equipment and services; health care providers or health care
6,Americas,2019.0,2.0,2.0,26.0,30.0,medical equipment and services; health care providers or health care
7,Americas,2020.0,0.0,0.0,20.0,20.0,medical equipment and services; health care providers or health care
8,Americas,2021.0,2.0,7.0,111.0,120.0,medical equipment and services; health care providers or health care
9,Americas,2022.0,1.0,9.0,194.0,204.0,medical equipment and services; health care providers or health care
10,Americas,2023.0,0.0,2.0,77.0,79.0,medical equipment and services; health care providers or health care
