,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011.0,0.0,0.0,3.0,3.0
1,Eastern Mediterranean,2012.0,4.0,6.0,162.0,172.0
2,Eastern Mediterranean,2015.0,0.0,0.0,0.0,0.0
3,Eastern Mediterranean,2016.0,0.0,1.0,38.0,39.0
4,Eastern Mediterranean,2017.0,0.0,20.0,45.0,65.0
5,Eastern Mediterranean,2018.0,0.0,9.0,58.0,67.0
6,Eastern Mediterranean,2019.0,2.0,30.0,22.0,54.0
7,Eastern Mediterranean,2020.0,0.0,9.0,18.0,27.0
8,Eastern Mediterranean,2021.0,1.0,26.0,58.0,85.0
9,Eastern Mediterranean,2022.0,6.0,86.0,207.0,299.0
10,Eastern Mediterranean,2023.0,12.0,198.0,185.0,395.0
