,Year,WHO,Climate,Health,Intersection
0,2011.0,Eastern Mediterranean,0.0,1.0,0.0
1,2012.0,Eastern Mediterranean,1.0,1.0,1.0
2,2015.0,Eastern Mediterranean,0.0,0.0,0.0
3,2016.0,Eastern Mediterranean,0.33,1.0,0.0
4,2017.0,Eastern Mediterranean,0.75,1.0,0.0
5,2018.0,Eastern Mediterranean,0.33,1.0,0.0
6,2019.0,Eastern Mediterranean,0.67,0.67,0.67
7,2020.0,Eastern Mediterranean,0.5,1.0,0.0
8,2021.0,Eastern Mediterranean,0.6,0.8,0.2
9,2022.0,Eastern Mediterranean,0.67,1.0,0.33
10,2023.0,Eastern Mediterranean,1.0,1.0,0.75
