,Sector,intersection,climate,health
0,automobiles & parts,1.0,5.0,27.0
1,banks,4.0,95.0,144.0
2,beverages,0.0,19.0,79.0
3,construction & materials,0.0,1.0,6.0
4,financial services,0.0,0.0,47.0
5,food producers,4.0,8.0,171.0
6,"gas, water & multiutilities",6.0,80.0,140.0
7,industrial support services,0.0,7.0,9.0
8,medical equipment and services; health care providers,0.0,0.0,3.0
9,nonlife insurance,0.0,2.0,35.0
10,personal goods,0.0,0.0,0.0
11,software & computer services,10.0,168.0,127.0
12,travel & leisure,0.0,0.0,8.0
