,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011.0,0.0,0.0,2.0,2.0
1,1,Africa,2012.0,0.0,0.0,3.0,3.0
2,2,Africa,2013.0,0.0,0.0,10.0,10.0
3,3,Africa,2014.0,0.0,1.0,30.0,31.0
4,4,Africa,2015.0,3.0,3.0,32.0,38.0
5,5,Africa,2016.0,0.0,0.0,3.0,3.0
6,6,Africa,2017.0,3.0,3.0,16.0,22.0
7,7,Africa,2018.0,3.0,2.0,13.0,18.0
8,8,Africa,2019.0,3.0,2.0,16.0,21.0
9,9,Africa,2020.0,0.0,2.0,8.0,10.0
10,10,Africa,2021.0,7.0,9.0,52.0,68.0
11,11,Africa,2022.0,5.0,25.0,45.0,75.0
12,12,Africa,2023.0,0.0,12.0,7.0,19.0
