,WHO,Year,intersection,climate,health,sum
0,South-East Asia,2012.0,0.0,0.0,2.0,2.0
1,South-East Asia,2013.0,0.0,7.0,40.0,47.0
2,South-East Asia,2014.0,0.0,12.0,65.0,77.0
3,South-East Asia,2015.0,5.0,32.0,87.0,124.0
4,South-East Asia,2016.0,7.0,41.0,144.0,192.0
5,South-East Asia,2017.0,15.0,49.0,270.0,334.0
6,South-East Asia,2018.0,10.0,49.0,290.0,349.0
7,South-East Asia,2019.0,5.0,29.0,220.0,254.0
8,South-East Asia,2020.0,11.0,48.0,213.0,272.0
9,South-East Asia,2021.0,20.0,47.0,425.0,492.0
10,South-East Asia,2022.0,16.0,52.0,219.0,287.0
11,South-East Asia,2023.0,2.0,18.0,105.0,125.0
