,Sector,intersection,climate,health
0,automobiles & parts,0.0,12.0,33.0
1,banks,0.0,12.0,66.0
2,beverages,4.0,6.0,35.0
3,chemicals,0.0,4.0,29.0
4,construction & materials,2.0,2.0,20.0
5,electronic & electrical equ...,8.0,14.0,169.0
6,finance and credit services,0.0,1.0,33.0
7,financial services,0.0,7.0,56.0
8,food producers,6.0,5.0,119.0
9,general industrials,5.0,11.0,37.0
10,industrial engineering,0.0,3.0,33.0
11,industrial materials,0.0,28.0,50.0
12,industrial support services,9.0,26.0,101.0
13,life insurance,2.0,1.0,11.0
14,media,0.0,2.0,6.0
15,medical equipment and services; health care providers,0.0,1.0,283.0
16,nonlife insurance,9.0,14.0,69.0
17,not applicable,0.0,0.0,0.0
18,"oil, gas, & coal",6.0,9.0,63.0
19,personal goods,1.0,11.0,23.0
20,pharmaceuticals & biotechno...,25.0,59.0,245.0
21,real estate investment & se...,3.0,32.0,208.0
22,real estate investment trusts,0.0,0.0,0.0
23,retailers,8.0,33.0,102.0
24,software & computer services,2.0,42.0,105.0
25,technology hardware & equip...,0.0,0.0,1.0
26,telecommunications equipment; telecommunications service providers,0.0,1.0,22.0
27,travel & leisure,1.0,48.0,161.0
