,Sector,intersection,climate,health
0,aerospace & defense,0.0,1.0,0.0
1,construction & materials,0.0,6.0,9.0
2,diversified,6.0,136.0,182.0
3,electronic & electrical equ...,0.0,0.0,1.0
4,finance and credit services,0.0,0.0,53.0
5,general industrials,0.0,3.0,70.0
6,household goods & home cons...,0.0,0.0,0.0
7,industrial materials,0.0,0.0,2.0
8,industrial support services,0.0,0.0,2.0
9,medical equipment and services; health care providers,0.0,0.0,75.0
10,nonlife insurance,0.0,0.0,5.0
11,personal goods,0.0,1.0,34.0
12,pharmaceuticals & biotechno...,0.0,0.0,12.0
13,software & computer services,0.0,0.0,0.0
