,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,22.0,408.0,630.0,1060.0
1,Tier 1,2012.0,48.0,457.0,841.0,1346.0
2,Tier 1,2013.0,35.0,445.0,1060.0,1540.0
3,Tier 1,2014.0,41.0,535.0,1205.0,1781.0
4,Tier 1,2015.0,42.0,507.0,964.0,1513.0
5,Tier 1,2016.0,50.0,517.0,1033.0,1600.0
6,Tier 1,2017.0,36.0,398.0,951.0,1385.0
7,Tier 1,2018.0,45.0,444.0,903.0,1392.0
8,Tier 1,2019.0,72.0,552.0,1325.0,1949.0
9,Tier 1,2020.0,56.0,467.0,1287.0,1810.0
10,Tier 1,2021.0,154.0,1223.0,2781.0,4158.0
11,Tier 1,2022.0,269.0,2409.0,3440.0,6118.0
12,Tier 1,2023.0,339.0,4349.0,3379.0,8067.0
