,Sector,intersection,health,climate
0,aerospace & defense,14.0,189.0,191.0
1,banks,1.0,29.0,71.0
2,beverages,5.0,101.0,28.0
3,chemicals,10.0,63.33,81.67
4,construction & materials,9.5,62.0,83.5
5,diversified,2.82,19.64,49.27
6,electricity,0.0,7.0,22.0
7,electronic & electrical equ...,12.0,66.0,117.0
8,finance and credit services,5.11,50.56,87.78
9,food producers,8.5,55.25,59.75
10,"gas, water & multiutilities",0.0,22.0,7.0
11,general industrials,3.4,34.0,14.4
12,household goods & home cons...,3.0,23.0,38.5
13,industrial support services,2.43,41.43,29.14
14,industrial transportation,2.67,33.67,64.0
15,life insurance,15.0,155.0,306.0
16,not applicable,7.0,121.0,53.0
17,"oil, gas, & coal",11.0,50.5,129.5
18,personal goods,11.5,98.0,81.0
19,retailers,8.5,133.0,173.0
20,software & computer services,5.5,80.5,96.0
21,technology hardware & equip...,4.0,152.0,67.0
