,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,1.0,39.0,40.0
1,Very High,2012.0,0.0,4.0,13.0,17.0
2,Very High,2013.0,0.0,5.0,11.0,16.0
3,Very High,2014.0,0.0,6.0,12.0,18.0
4,Very High,2015.0,0.0,4.0,13.0,17.0
5,Very High,2016.0,1.0,9.0,50.0,60.0
6,Very High,2017.0,0.0,84.0,98.0,182.0
7,Very High,2018.0,0.0,4.0,11.0,15.0
8,Very High,2019.0,0.0,5.0,13.0,18.0
9,Very High,2020.0,0.0,9.0,14.0,23.0
10,Very High,2021.0,0.0,4.0,20.0,24.0
11,Very High,2022.0,0.0,8.0,16.0,24.0
12,Very High,2023.0,6.0,232.0,61.0,299.0
