Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,4,3,3,2,0.75,0.75,0.5
2012.0,6,3,4,1,0.5,0.67,0.17
2013.0,11,4,7,0,0.36,0.64,0.0
2014.0,12,2,7,0,0.17,0.58,0.0
2015.0,11,5,8,1,0.45,0.73,0.09
2016.0,19,8,15,3,0.42,0.79,0.16
2017.0,17,7,13,1,0.41,0.76,0.06
2018.0,15,6,11,1,0.4,0.73,0.07
2019.0,26,14,20,5,0.54,0.77,0.19
2020.0,11,7,9,3,0.64,0.82,0.27
2021.0,23,12,16,3,0.52,0.7,0.13
2022.0,17,10,15,4,0.59,0.88,0.24
2023.0,13,11,11,9,0.85,0.85,0.69
