,WHO,Year,intersection,climate,health,sum
0,Africa,2011.0,5.0,21.0,108.0,134.0
1,Africa,2012.0,1.0,32.0,83.0,116.0
2,Africa,2013.0,0.0,9.0,49.0,58.0
3,Africa,2014.0,0.0,5.0,50.0,55.0
4,Africa,2015.0,2.0,19.0,98.0,119.0
5,Africa,2016.0,3.0,49.0,142.0,194.0
6,Africa,2017.0,4.0,48.0,91.0,143.0
7,Africa,2018.0,2.0,40.0,215.0,257.0
8,Africa,2019.0,10.0,108.0,403.0,521.0
9,Africa,2020.0,11.0,25.0,84.0,120.0
10,Africa,2021.0,5.0,81.0,427.0,513.0
11,Africa,2022.0,13.0,101.0,483.0,597.0
12,Africa,2023.0,67.0,631.0,603.0,1301.0
