,Sector,intersection,climate,health
0,alternative energy,14.0,49.0,31.0
1,banks,44.0,290.0,1097.0
2,beverages,11.0,75.0,59.0
3,chemicals,2.0,38.0,55.0
4,construction & materials,1.0,21.0,96.0
5,diversified,12.0,101.0,265.0
6,finance and credit services,0.0,21.0,27.0
7,financial services,2.0,13.0,56.0
8,food producers,6.0,26.0,134.0
9,"gas, water & multiutilities",0.0,0.0,3.0
10,general industrials,0.0,14.0,70.0
11,industrial support services,0.0,22.0,81.0
12,media,0.0,6.0,17.0
13,medical equipment and services; health care providers,0.0,0.0,55.0
14,not applicable,2.0,6.0,31.0
15,"oil, gas, & coal",14.0,270.0,362.0
16,pharmaceuticals & biotechno...,0.0,0.0,2.0
17,real estate investment & se...,0.0,4.0,16.0
18,retailers,0.0,4.0,13.0
19,software & computer services,10.0,168.0,127.0
20,telecommunications equipment; telecommunications service providers,5.0,41.0,239.0
