,Sector,Climate,Health,Intersection,Year
0,construction & materials,1.0,1.0,1.0,2023
1,diversified,0.86,0.86,0.71,2023
2,financial services,0.0,0.33,0.0,2023
3,food producers,0.0,1.0,0.0,2023
4,industrial metals & mining,0.6,0.6,0.0,2023
5,media,0.0,1.0,0.0,2023
6,medical equipment and services; health care providers,0.5,1.0,0.0,2023
7,"oil, gas, & coal",0.33,1.0,0.0,2023
8,real estate investment & se...,0.75,0.75,0.0,2023
9,software & computer services,0.17,1.0,0.0,2023
10,travel & leisure,0.0,0.33,0.0,2023
