,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,1.0,1.0,8.0,10.0
1,1,Europe,2012.0,2.0,19.0,102.0,123.0
2,2,Europe,2013.0,1.0,16.0,129.0,146.0
3,3,Europe,2014.0,1.0,20.0,158.0,179.0
4,4,Europe,2015.0,1.0,3.0,92.0,96.0
5,5,Europe,2016.0,1.0,16.0,60.0,77.0
6,6,Europe,2017.0,0.0,1.0,17.0,18.0
7,7,Europe,2018.0,0.0,1.0,16.0,17.0
8,8,Europe,2019.0,4.0,12.0,42.0,58.0
9,9,Europe,2020.0,3.0,17.0,50.0,70.0
10,10,Europe,2021.0,0.0,0.0,34.0,34.0
11,11,Europe,2022.0,0.0,0.0,20.0,20.0
