Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,23,15,20,7,0.65,0.87,0.3
2012.0,28,19,24,9,0.68,0.86,0.32
2013.0,30,21,23,4,0.7,0.77,0.13
2014.0,34,22,29,6,0.65,0.85,0.18
2015.0,39,27,32,7,0.69,0.82,0.18
2016.0,42,23,34,11,0.55,0.81,0.26
2017.0,44,31,34,13,0.7,0.77,0.3
2018.0,36,25,33,9,0.69,0.92,0.25
2019.0,37,26,31,11,0.7,0.84,0.3
2020.0,51,45,46,18,0.88,0.9,0.35
2021.0,86,76,71,39,0.88,0.83,0.45
2022.0,96,82,79,43,0.85,0.82,0.45
2023.0,78,76,75,52,0.97,0.96,0.67
